accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-3016.38,-9712,2534,3665.34,-644,14248,-296.74,-9520,8830,8778.380000000001,5734.791227679134,-135.55,-4602,7401,-5.45,-6003,3862,406.16,-2454,4206,4493.68,2967.217922398064,299,Jogging,0,100
-2957.56,-10420,2890,3740.74,-698,13974,-251.08,-5772,5638,8881.34,5711.2852757019,-111.23,-3674,5972,946.87,-3770,4048,-351.88,-2321,3655,4460.4800000000005,2873.2960028942516,300,Jogging,0,100
-2109.2,-10590,4752,3265.64,-504,15776,-18.58,-7450,8136,8274.5,5424.935280508862,-212.04,-4394,7234,188.54,-5724,3846,-161.82,-2284,3228,4675.96,3103.616695745733,301,Jogging,0,100
-2737.8,-10196,3142,3408.64,-1076,18626,-288.54,-6064,4302,8579.78,5548.074118669291,-177.02,-5783,5982,-301.56,-5593,3105,273.03,-2415,3805,4301.15,2827.951664727547,302,Jogging,0,100
-2712.0,-11658,4032,3744.6,-464,17108,-89.5,-5904,7960,8685.94,5727.212748783963,201.33,-3448,4995,222.35,-5023,3059,-325.29,-2552,3746,4226.29,2759.7278204802856,303,Jogging,0,100
-2794.08,-10680,3400,3641.38,-682,14850,-172.16,-11958,6210,9102.22,6009.696232739629,-88.12,-3820,5744,-228.56,-5643,3323,339.31,-2420,3625,4408.37,2865.2653398762295,304,Jogging,0,100
-2838.4,-10756,2072,3528.32,-1634,13556,-324.16,-8264,9336,8500.8,5517.951151398614,-41.74,-5573,6147,802.36,-2694,5358,-172.65,-2169,4041,4151.63,2760.9424835289024,305,Jogging,0,100
-2207.78,-9916,4062,3147.92,-986,15738,-503.42,-26936,9300,7872.76,5248.953122733632,-324.7,-6653,6208,428.63,-3333,4199,-192.51,-3010,3103,4570.64,3024.8574655124276,306,Jogging,0,100
-2980.04,-8796,4084,3714.1,-826,15490,-157.66,-16200,7750,9299.64,5998.338340307815,-379.0,-5723,6811,-171.02,-5179,4410,268.47,-2264,3714,4695.01,3071.528052793814,307,Jogging,0,100
-2801.42,-11954,4724,3806.14,-486,17708,-227.46,-6836,5572,9039.18,5911.402406891853,282.36,-5660,6609,303.43,-5481,3181,-398.05,-2718,3343,4648.18,3034.9070481726467,308,Jogging,0,100
-2379.66,-11028,5426,3514.66,-2420,16610,41.92,-8104,5758,9111.84,6001.43932683585,-90.21,-4413,7283,-254.92,-5799,4220,203.86,-2823,3004,4978.01,3277.28922013921,309,Jogging,0,100
-2660.26,-9470,4210,3084.96,-534,15040,-490.72,-11594,7790,8021.34,5242.787754323465,66.03,-4433,6504,27.14,-4456,3433,82.66,-2139,2870,4304.51,2793.584682457481,310,Jogging,0,100
-2536.6,-11034,4436,3601.92,-702,17764,-252.76,-21440,8590,8809.800000000001,5874.493827418523,-54.41,-4145,5817,85.46,-4353,3479,-232.75,-2548,2929,4544.3,2976.932560461166,311,Jogging,0,100
-3079.84,-11144,4768,3788.96,-656,15044,-275.66,-21368,7876,9773.14,6289.066378264745,-21.41,-4610,7746,-376.23,-5449,3815,361.84,-2767,3367,4759.400000000001,3101.163022603431,312,Jogging,0,100
-2835.74,-10692,4876,3767.64,-890,17136,-368.0,-12362,5670,9189.58,5969.410734522569,322.79,-4426,5969,309.51,-5176,3398,-208.62,-2349,3345,4316.4800000000005,2819.347097542149,313,Jogging,0,100
-2184.46,-10954,5198,3006.94,-692,14874,-414.86,-19300,6184,8006.7,5290.796831270143,-47.0,-5061,7122,-45.85,-5360,3896,-70.8,-2410,3311,4459.49,2958.996495279853,314,Jogging,0,100
-3036.24,-12468,3978,3545.24,-738,18298,-20.54,-6810,7084,8977.54,5813.35602449993,-194.54,-4793,4228,-304.16,-5154,3074,282.98,-2318,3035,4165.9,2728.6709415857786,315,Jogging,0,100
